12,99
4,46
11,58
-1,56
-1,4
14,03
-2,05
-2,84
-2,22
-2,6
-3,54
7,87
5,96
4,72
5,85
8,27
0,97
-1,14
-0,32
15
10,44
12,97
6,86
7,94
4,97
11,95
15,18
-1,77
6,55
-0,59
3,18
9,93
15,1
8,99
4,87
6,03
11,64
4,43
2,18
14,44
-4,76
8,51
1,99
8,43
2,49
4,88
4,87
11,51
12,05
-3,99
-0,56
10,12
6,87
8,04
9,88
-1,43
5,7
8,43
12,19
-4,66
10,62
8,51
-0,47
-1,57
11,14
1,93
8,18
12,37
15,26
15,23
12,03
11,94
12,09
0,65
14,61
-3,22
5,84
13,84
0,31
-5,06
1,94
-1,47
1,59
5,4
15,37
8,47
-2,08
1,91
14,51
1,15
-4,82
-1,93
7,65
1,7
-1,32
2,14
3,84
-1,58
12,69
-4,59
12,11
7,9
11,65
12,23
-0,62
2,9
13,43
1,08
8,83
7,96
8,13
7,27
2,97
12,1
8,8
6,94
1,77
9,53
-1,54
-2,47
-1,13
1,12
13,26
8,96
14,9
8,82
-0,85
5,25
-3,18
7,33
8,35
2,28
-4
-0,25
-1,77
9,44
2,28
4,76
0,88
7,33
10,45
12,25
8,48
1,41
8,43
3,32
10,5
10,95
8,3
7,14
-4,78
9,71
15,36
10,02
11,94
5,85
10,04
-2,45
12,74
5,96
-1,39
3,04
-0,89
-3,64
15,02
0,71
6,12
-1,92
8,73
14,77
-0,48
12,42
3,51
6,54
2,49
2,03
8,05
6,71
-4,61
6,43
13,73
3,6
12,35
5,09
6,96
14,04
2,32
1,39
3,21
7,79
14,81
-0,41
7,43
10,32
3,57
2,26
7,99
6,97
1,8
2,57
12,61
7,28
-2,92
8,94
2,48
-1,79
1,05
3,68
2,38
4,77
13,21
-1,81
-2,99
1,16
7,64
10,41
6,09
9,43
4,81
-4,17
13,8
-0,41
10,27
-4,21
15,36
15,34
-0,16
8,6
-2,18
-4,92
9,45
-4,07
-0,24
8,22
9,23
1,31
1,38
-1,73
-2,54
3,61
7,84
14,04
14,41
13,85
9,99
11,47
-2,57
1,12
-2,47
8,57
11,58
13,97
-2,98
0,82
4,17
7,87
12,41
-3,85
8,98
2,55
13,77
7,86
0,72
2,16
10,73
12,13
13,83
4,2
7,34
1,19
3,89
2,67
6,82
-3,94
3,4
15,17
0,58
11,82
1,21
-1,25
12,76
14,13
5,92
4,66
-1,09
10,88
14,31
14,35
-1,1
-3,79
4,3
0,08
4,7
10,32
5,24
15,38
8,17
7,11
-2,02
13,26
13,04
8,64
9,18
11,75
-0,47
3,76
2
-4,18
12,83
4,41
2,15
-4,56
10,35
5,08
5,19
15,05
-3,2
11,47
-1,89
15,25
13,23
14,89
0,15
5,99
12,29
-1,34
13,38
11,9
6,22
3,42
1,85
8,88
8,7
3,35
1,11
-1,03
-0,2
9,57
-0,02
10,55
3,74
13,35
-3,63
9,9
9,47
3,71
5,14
15,02
-0,01
5,6
13,44
12,11
3,85
-1,86
-5,11
13,56
3,35
-1,95
14,86
-4,28
5,79
5,5
5,01
4,27
-2,58
8,67
2,15
1,85
-1,17
1,07
10,1
2,63
6,34
2,96
6,36
15,28
13,37
5,65
11,92
3,44
8,93
13,77
6,77
-4,53
5,38
5,14
-0,11
5,41
3,31
2,96
11,03
-3,4
10,12
-0,88
-0,38
13,64
3,2
7,51
7,34
-4,34
-3,59
-1,86
11,04
14,32
10,9
5,67
0,63
-4,26
7,18
-4,99
-4,96
13,1
1,53
6,28
2,2
7,42
14,14
4,39
14,29
7,68
3,64
12,15
13,94
11,28
5,44
8,35
7,92
2,07
-1,8
8,13
6,94
0,72
13,72
11,12
1,88
5,64
-2,42
7,86
-0,03
15,12
-0,64
-1
13,64
3,16
2,77
13,34
10,47
-1,3
12,32
7,6
14,91
14,21
8,63
15,06
7,43
-0,33
-0,4
15,17
3,73
-2,59
13,16
13,96
12,95
14,45
3,48
9,73
14,78
5,82
-0,75
11,97
4,7
1,13
-0,73
14,57
3,17
-0,51
13,92
5,64
3,36
7,51
13,28
4,07
5,16
6,01
8,63
8,13
7,49
14,06
-1,45
-2,93
0,89
-2,19
-1,01
-2,58
-3,18
0,8
1,46
14,59
15,09
8,45
13,96
-0,49
14,86
-4,79
-2,24
8,63
9,8
9,46
6,75
2,79
1,16
9,37
6,67
11,62
-0,47
3,94
3,66
1,8
0,68
10,75
-2,91
-4,43
2,13
-2,97
5,94
1,74
-3
-3,3
12,61
-2,78
13,44
14,74
5,96
10,32
8,96
8,63
4,62
4,8
3,1
15,4
13,73
13,44
2,17
11,17
11,32
6,93
6,55
2,77
13,3
8,28
12,55
15,07
8,76
-0,81
6,21
13,24
12,79
12,68
4,68
11,42
6,49
7,96
12,26
4,38
4,75
1,83
-1,74
11,75
-2,48
6,3
14,72
14,26
14,1
0,68
12,42
-0,94
8,81
6,36
1,11
14,42
10,59
9,63
-1,2
-0,82
0,08
13,78
0,83
1,63
-1,04
11,12
11,25
7,34
-5,02
7,09
3,77
0,63
-3,96
13,2
1,28
4,35
3,52
10,2
0,11
1,86
8,97
13,69
-4,18
2,94
2,17
2
-0,71
1,28
6,42
5,66
-4,32
12,26
4,01
7,93
-0,85
6,37
-4,15
12,04
7,65
1,8
10,46
2,23
14,13
1,86
12,31
6,64
-2,12
11,02
-0,06
12,17
5,75
-4,75
4,38
12,35
5,62
1,8
12,82
13,29
14,86
12,36
6,69
4,82
-4,22
4,72
6,26
6,92
12,02
3,51
8,9
10,32
3,35
6,89
-2,59
13,71
6,81
1,59
14,96
9,37
6,03
10,93
-1,02
3,67
-3,8
9,66
15,32
-4,71
2,73
7,07
-2,84
12,76
8,96
-2,03
12,58
10,69
10,51
0,49
1,31
4,26
11,01
0,25
10,03
9,77
-3,02
5,02
3,67
14,26
13,25
6,07
0,4
-1,12
2,25
-1,7
2,11
-1,22
8,24
-2,12
3,48
1,52
4,81
5,83
-0,96
-0,19
1,2
11,54
-3,78
0,24
9,71
2,12
-1,94
1,17
-4,86
5,55
13,76
0,64
-4,24
4,61
1,55
6,58
0,84
-4,08
-2,55
12,07
1,53
13,68
5,37
5,51
11,26
8,66
-2,69
7,49
12,42
15,19
14,86
0,04
-3,94
5,07
3,43
0,84
3,66
-1,71
-0,6
5,98
2,87
14,63
-1,4
12,1
-0,06
-3,68
-2,13
-1,51
